Unnamed: 0,Area,Item,Year,hg/ha_yield,Avg_rain,pesticides_tonnes,avg_temp,country_no
0,Albania,Maize,1990,36613,1485,121.0,16.37,0
1,Albania,Potatoes,1990,66667,1485,121.0,16.37,0
2,Albania,RicePaddy,1990,23333,1485,121.0,16.37,0
3,Albania,Sorghum,1990,12500,1485,121.0,16.37,0
4,Albania,Soybeans,1990,7000,1485,121.0,16.37,0
5,Albania,Wheat,1990,30197,1485,121.0,16.37,0
6,Albania,Maize,1991,29068,1485,121.0,15.36,0
7,Albania,Potatoes,1991,77818,1485,121.0,15.36,0
8,Albania,RicePaddy,1991,28538,1485,121.0,15.36,0
9,Albania,Sorghum,1991,6667,1485,121.0,15.36,0
10,Albania,Soybeans,1991,6066,1485,121.0,15.36,0
11,Albania,Wheat,1991,20698,1485,121.0,15.36,0
12,Albania,Maize,1992,24876,1485,121.0,16.06,0
13,Albania,Potatoes,1992,82920,1485,121.0,16.06,0
14,Albania,RicePaddy,1992,40000,1485,121.0,16.06,0
15,Albania,Sorghum,1992,3747,1485,121.0,16.06,0
16,Albania,Soybeans,1992,4507,1485,121.0,16.06,0
17,Albania,Wheat,1992,24388,1485,121.0,16.06,0
18,Albania,Maize,1993,24185,1485,121.0,16.05,0
19,Albania,Potatoes,1993,98446,1485,121.0,16.05,0
20,Albania,RicePaddy,1993,41786,1485,121.0,16.05,0
21,Albania,Soybeans,1993,7998,1485,121.0,16.05,0
22,Albania,Wheat,1993,29976,1485,121.0,16.05,0
23,Albania,Maize,1994,25848,1485,201.0,16.96,0
24,Albania,Potatoes,1994,81404,1485,201.0,16.96,0
25,Albania,Soybeans,1994,7927,1485,201.0,16.96,0
26,Albania,Wheat,1994,24745,1485,201.0,16.96,0
27,Albania,Maize,1995,31300,1485,251.0,15.67,0
28,Albania,Potatoes,1995,111323,1485,251.0,15.67,0
29,Albania,Soybeans,1995,11791,1485,251.0,15.67,0
30,Albania,Wheat,1995,28703,1485,251.0,15.67,0
31,Albania,Maize,1996,32604,1485,313.96,15.64,0
32,Albania,Potatoes,1996,106138,1485,313.96,15.64,0
33,Albania,Soybeans,1996,15480,1485,313.96,15.64,0
34,Albania,Wheat,1996,21741,1485,313.96,15.64,0
35,Albania,Maize,1997,31862,1485,376.93,15.9,0
36,Albania,Potatoes,1997,109874,1485,376.93,15.9,0
